"Year","Team","Current Conference","Actual Conference","Team State","Team City","Coach","Ranking","Seed","RPI","Score","Opponent Score","Score Bucket","Opponent Score Bucket","Opponent","Overtimes","Round","Region","Season Wins","Season Losses","Automatic/At-Large","Opponent Current Conference","Opponent Actual Conference","Opponent State","Opponent City","Opponent Ranking","Opponent Seed","Opponent RPI","Opponent Region","Location City","Location State","Day of Week","Date","Decade","Wins","Losses"
"1964","Loyola, Illinois","Missouri Valley","Independent","Illinois","Chicago","Ireland, George","8","0","0","101","91","100 or more"," 90 - 99","Murray State","0","Round of 32","Mideast","20","5","At Large","Ohio Valley","Ohio Valley","Kentucky","Murray","0","0","0","Mideast","Evanston","Illinois","Tuesday","March 10","1960-1969","1","0"
"1964","Michigan","Big Ten","Big Ten","Michigan","Ann Arbor","Strack, Dave","2","0","0","100","90","100 or more"," 90 - 99","Kansas State","0","National Third Place","Mideast","20","4","Automatic","Big Twelve","Big Eight","Kansas","Manhattan","0","0","0","Midwest","Kansas City","Missouri","Saturday","March 21","1960-1969","1","0"
"1964","Michigan","Big Ten","Big Ten","Michigan","Ann Arbor","Strack, Dave","2","0","0","84","80"," 80 - 89"," 80 - 89","Loyola, Illinois","0","Sweet Sixteen","Mideast","20","4","Automatic","Missouri Valley","Independent","Illinois","Chicago","8","0","0","Mideast","Minneapolis","Minnesota","Friday","March 13","1960-1969","1","0"
"1964","Michigan","Big Ten","Big Ten","Michigan","Ann Arbor","Strack, Dave","2","0","0","69","57"," 60 - 69"," 50 - 59","Ohio","0","Elite Eight","Mideast","20","4","Automatic","Mid American","Mid American","Ohio","Athens","0","0","0","Mideast","Minneapolis","Minnesota","Saturday","March 14","1960-1969","1","0"
"1964","Ohio","Mid American","Mid American","Ohio","Athens","Snyder, James","0","0","0","85","69"," 80 - 89"," 60 - 69","Kentucky","0","Sweet Sixteen","Mideast","19","5","Automatic","Southeastern","Southeastern","Kentucky","Lexington","4","0","0","Mideast","Minneapolis","Minnesota","Friday","March 13","1960-1969","1","0"
"1964","Ohio","Mid American","Mid American","Ohio","Athens","Snyder, James","0","0","0","71","69"," 70 - 79"," 60 - 69","Louisville","0","Round of 32","Mideast","19","5","Automatic","Atlantic Coast","Independent","Kentucky","Louisville","0","0","0","Mideast","Evanston","Illinois","Tuesday","March 10","1960-1969","1","0"
"1964","Princeton","Ivy League","Ivy League","New Jersey","Princeton","van Breda Kolff, Butch","0","0","0","86","60"," 80 - 89"," 60 - 69","Virginia Military","0","Round of 32","East","19","7","Automatic","Southern","Southern","Virginia","Lexington","0","0","0","East","Philadelphia","Pennsylvania","Monday","March 9","1960-1969","1","0"
"1964","San Francisco","West Coast","West Coast","California","San Francisco","Peletta, Peter","0","0","0","64","58"," 60 - 69"," 50 - 59","Utah State","0","Sweet Sixteen","West","22","4","Automatic","Mountain West","Independent","Utah","Logan","0","0","0","West","Corvallis","Oregon","Friday","March 13","1960-1969","1","0"
"1964","Seattle","Western Athletic","Independent","Washington","Seattle","Boyd, Bob","0","0","0","61","57"," 60 - 69"," 50 - 59","Oregon State","0","Round of 32","West","20","5","At Large","Pacific Twelve","Independent","Oregon","Corvallis","6","0","0","West","Eugene","Oregon","Tuesday","March 10","1960-1969","1","0"
"1964","Seattle","Western Athletic","Independent","Washington","Seattle","Boyd, Bob","0","0","0","88","78"," 80 - 89"," 70 - 79","Utah State","0","Regional Third Place","West","20","5","At Large","Mountain West","Independent","Utah","Logan","0","0","0","West","Corvallis","Oregon","Saturday","March 14","1960-1969","1","0"
"1964","Texas-El Paso","Conference USA","Independent","Texas","El Paso","Haskins, Don","0","0","0","63","52"," 60 - 69"," 50 - 59","Creighton","0","Regional Third Place","Midwest","23","2","At Large","Big East","Independent","Nebraska","Omaha","0","0","0","Midwest","Wichita","Kansas","Saturday","March 14","1960-1969","1","0"
"1964","Texas-El Paso","Conference USA","Independent","Texas","El Paso","Haskins, Don","0","0","0","68","62"," 60 - 69"," 60 - 69","Texas A&M","0","Round of 32","Midwest","23","2","At Large","Southeastern","Southwest","Texas","College Station","0","0","0","Midwest","Dallas","Texas","Monday","March 9","1960-1969","1","0"
"1964","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","1","0","0","98","83"," 90 - 99"," 80 - 89","Duke","0","National Championship","West","26","0","Automatic","Atlantic Coast","Atlantic Coast","North Carolina","Durham","3","0","0","East","Kansas City","Missouri","Saturday","March 21","1960-1969","1","0"
"1964","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","1","0","0","90","84"," 90 - 99"," 80 - 89","Kansas State","0","National Semifinals","West","26","0","Automatic","Big Twelve","Big Eight","Kansas","Manhattan","0","0","0","Midwest","Kansas City","Missouri","Friday","March 20","1960-1969","1","0"
"1964","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","1","0","0","76","72"," 70 - 79"," 70 - 79","San Francisco","0","Elite Eight","West","26","0","Automatic","West Coast","West Coast","California","San Francisco","0","0","0","West","Corvallis","Oregon","Saturday","March 14","1960-1969","1","0"
"1964","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","1","0","0","95","90"," 90 - 99"," 90 - 99","Seattle","0","Sweet Sixteen","West","26","0","Automatic","Western Athletic","Independent","Washington","Seattle","0","0","0","West","Corvallis","Oregon","Friday","March 13","1960-1969","1","0"
"1964","Utah State","Mountain West","Independent","Utah","Logan","Andersen, Ladell","0","0","0","92","90"," 90 - 99"," 90 - 99","Arizona State","0","Round of 32","West","20","6","At Large","Pacific Twelve","Western Athletic","Arizona","Tempe","0","0","0","West","Eugene","Oregon","Tuesday","March 10","1960-1969","1","0"
"1964","Villanova","Big East","Independent","Pennsylvania","Philadelphia","Kraft, Jack","7","0","0","74","62"," 70 - 79"," 60 - 69","Princeton","0","Regional Third Place","East","22","3","At Large","Ivy League","Ivy League","New Jersey","Princeton","0","0","0","East","Raleigh","North Carolina","Saturday","March 14","1960-1969","1","0"
"1964","Villanova","Big East","Independent","Pennsylvania","Philadelphia","Kraft, Jack","7","0","0","77","66"," 70 - 79"," 60 - 69","Providence","0","Round of 32","East","22","3","At Large","Big East","Independent","Rhode Island","Providence","0","0","0","East","Philadelphia","Pennsylvania","Monday","March 9","1960-1969","1","0"
"1964","Wichita State","American Athletic","Missouri Valley","Kansas","Wichita","Miller, Ralph","5","0","0","84","68"," 80 - 89"," 60 - 69","Creighton","0","Sweet Sixteen","Midwest","22","5","Automatic","Big East","Independent","Nebraska","Omaha","0","0","0","Midwest","Wichita","Kansas","Friday","March 13","1960-1969","1","0"
"1965","Dayton","Atlantic Ten","Independent","Ohio","Dayton","Donoher, Don","0","0","0","75","69"," 70 - 79"," 60 - 69","DePaul","0","Regional Third Place","Mideast","20","6","At Large","Big East","Independent","Illinois","Chicago","0","0","0","Mideast","Lexington","Kentucky","Saturday","March 13","1960-1969","1","0"
"1965","Dayton","Atlantic Ten","Independent","Ohio","Dayton","Donoher, Don","0","0","0","66","65"," 60 - 69"," 60 - 69","Ohio","0","Round of 32","Mideast","20","6","At Large","Mid American","Mid American","Ohio","Athens","0","0","0","Mideast","Bowling Green","Kentucky","Tuesday","March 9","1960-1969","1","0"
"1965","DePaul","Big East","Independent","Illinois","Chicago","Meyer, Ray","0","0","0","99","52"," 90 - 99"," 50 - 59","Eastern Kentucky","0","Round of 32","Mideast","16","8","At Large","Ohio Valley","Ohio Valley","Kentucky","Richmond","0","0","0","Mideast","Bowling Green","Kentucky","Tuesday","March 9","1960-1969","1","0"
"1965","Houston","American Athletic","Independent","Texas","Houston","Lewis, Guy","0","0","0","99","98"," 90 - 99"," 90 - 99","Notre Dame","0","Round of 32","Midwest","18","8","At Large","Atlantic Coast","Independent","Indiana","South Bend","0","0","0","Midwest","Lubbock","Texas","Monday","March 8","1960-1969","1","0"
"1965","Michigan","Big Ten","Big Ten","Michigan","Ann Arbor","Strack, Dave","1","0","0","98","71"," 90 - 99"," 70 - 79","Dayton","0","Sweet Sixteen","Mideast","21","3","Automatic","Atlantic Ten","Independent","Ohio","Dayton","0","0","0","Mideast","Lexington","Kentucky","Friday","March 12","1960-1969","1","0"
"1965","Michigan","Big Ten","Big Ten","Michigan","Ann Arbor","Strack, Dave","1","0","0","93","76"," 90 - 99"," 70 - 79","Princeton","0","National Semifinals","Mideast","21","3","Automatic","Ivy League","Ivy League","New Jersey","Princeton","0","0","0","East","Portland","Oregon","Friday","March 19","1960-1969","1","0"
"1965","Michigan","Big Ten","Big Ten","Michigan","Ann Arbor","Strack, Dave","1","0","0","87","85"," 80 - 89"," 80 - 89","Vanderbilt","0","Elite Eight","Mideast","21","3","Automatic","Southeastern","Southeastern","Tennessee","Nashville","5","0","0","Mideast","Lexington","Kentucky","Saturday","March 13","1960-1969","1","0"
"1965","North Carolina State","Atlantic Coast","Atlantic Coast","North Carolina","Raleigh","Maravich, Press","0","0","0","103","81","100 or more"," 80 - 89","St. Joseph's, Pennsylvania","0","Regional Third Place","East","20","4","Automatic","Atlantic Ten","East Coast","Pennsylvania","Philadelphia","3","0","0","East","College Park","Maryland","Saturday","March 13","1960-1969","1","0"
"1965","Oklahoma City","NAIA","Independent","Oklahoma","Oklahoma City","Lemons, Abe","0","0","0","112","102","100 or more","100 or more","Brigham Young","0","Regional Third Place","West","19","9","At Large","West Coast","Western Athletic","Utah","Provo","9","0","0","West","Provo","Utah","Saturday","March 13","1960-1969","1","0"
"1965","Oklahoma City","NAIA","Independent","Oklahoma","Oklahoma City","Lemons, Abe","0","0","0","70","68"," 70 - 79"," 60 - 69","Colorado State","0","Round of 32","West","19","9","At Large","Mountain West","Independent","Colorado","Fort Collins","0","0","0","West","Lubbock","Texas","Monday","March 8","1960-1969","1","0"
"1965","Oklahoma State","Big Twelve","Big Eight","Oklahoma","Stillwater","Iba, Henry","0","0","0","75","60"," 70 - 79"," 60 - 69","Houston","0","Sweet Sixteen","Midwest","19","6","Automatic","American Athletic","Independent","Texas","Houston","0","0","0","Midwest","Manhattan","Kansas","Friday","March 12","1960-1969","1","0"
"1965","Princeton","Ivy League","Ivy League","New Jersey","Princeton","van Breda Kolff, Butch","0","0","0","66","48"," 60 - 69","  0 - 49","North Carolina State","0","Sweet Sixteen","East","19","5","Automatic","Atlantic Coast","Atlantic Coast","North Carolina","Raleigh","0","0","0","East","College Park","Maryland","Friday","March 12","1960-1969","1","0"
"1965","Princeton","Ivy League","Ivy League","New Jersey","Princeton","van Breda Kolff, Butch","0","0","0","60","58"," 60 - 69"," 50 - 59","Pennsylvania State","0","Round of 32","East","19","5","Automatic","Big Ten","Independent","Pennsylvania","State College","0","0","0","East","Philadelphia","Pennsylvania","Monday","March 8","1960-1969","1","0"
"1965","Princeton","Ivy League","Ivy League","New Jersey","Princeton","van Breda Kolff, Butch","0","0","0","109","69","100 or more"," 60 - 69","Providence","0","Elite Eight","East","19","5","Automatic","Big East","Independent","Rhode Island","Providence","4","0","0","East","College Park","Maryland","Saturday","March 13","1960-1969","1","0"
"1965","Princeton","Ivy League","Ivy League","New Jersey","Princeton","van Breda Kolff, Butch","0","0","0","118","82","100 or more"," 80 - 89","Wichita State","0","National Third Place","East","19","5","Automatic","American Athletic","Missouri Valley","Kansas","Wichita","0","0","0","Midwest","Portland","Oregon","Saturday","March 20","1960-1969","1","0"
"1965","Providence","Big East","Independent","Rhode Island","Providence","Mullaney, Joe","4","0","0","81","73"," 80 - 89"," 70 - 79","St. Joseph's, Pennsylvania","1","Sweet Sixteen","East","22","1","At Large","Atlantic Ten","East Coast","Pennsylvania","Philadelphia","3","0","0","East","College Park","Maryland","Friday","March 12","1960-1969","1","0"
"1965","Providence","Big East","Independent","Rhode Island","Providence","Mullaney, Joe","4","0","0","91","67"," 90 - 99"," 60 - 69","West Virginia","0","Round of 32","East","22","1","At Large","Big Twelve","Southern","West Virginia","Morgantown","0","0","0","East","Philadelphia","Pennsylvania","Monday","March 8","1960-1969","1","0"
"1965","San Francisco","West Coast","West Coast","California","San Francisco","Peletta, Peter","0","0","0","91","67"," 90 - 99"," 60 - 69","Oklahoma City","0","Sweet Sixteen","West","23","4","Automatic","NAIA","Independent","Oklahoma","Oklahoma City","0","0","0","West","Provo","Utah","Friday","March 12","1960-1969","1","0"
"1965","Southern Methodist","American Athletic","Southwest","Texas","Dallas","Hayes, Doc","0","0","0","89","87"," 80 - 89"," 80 - 89","Houston","0","Regional Third Place","Midwest","16","9","Automatic","American Athletic","Independent","Texas","Houston","0","0","0","Midwest","Manhattan","Kansas","Saturday","March 13","1960-1969","1","0"
"1965","St. Joseph's, Pennsylvania","Atlantic Ten","East Coast","Pennsylvania","Philadelphia","Ramsey, Jack","3","0","0","67","61"," 60 - 69"," 60 - 69","Connecticut","0","Round of 32","East","25","1","Automatic","American Athletic","Yankee","Connecticut","Storrs","0","0","0","East","Philadelphia","Pennsylvania","Monday","March 8","1960-1969","1","0"
"1965","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","2","0","0","100","76","100 or more"," 70 - 79","Brigham Young","0","Sweet Sixteen","West","24","2","Automatic","West Coast","Western Athletic","Utah","Provo","9","0","0","West","Provo","Utah","Friday","March 12","1960-1969","1","0"
"1965","UCLA","Pacific Twelve","Pacific Twelve","California","Los Angeles","Wooden, John","2","0","0","91","80"," 90 - 99"," 80 - 89","Michigan","0","National Championship","West","24","2","Automatic","Big Ten","Big Ten","Michigan","Ann Arbor","1","0","0","Mideast","Portland","Oregon","Saturday","March 20","1960-1969","1","0"
